id,rank,symbol,name,supply,maxSupply,marketCapUsd,volumeUsd24Hr,priceUsd,changePercent24Hr,vwap24Hr,explorer
zcash,109,ZEC,Zcash,16328268.7500000000000000,21000000.0000000000000000,481327169.4414289508558119,49327601.5161375540216392,29.4781508567115513,1.1651269839071454,29.1226842986152239,https://explorer.zcha.in/
casper,110,CSPR,Casper,11872994736.0000000000000000,,479589809.7865568764150176,5727444.5197687641241010,0.0403933312909166,-0.9833184646024907,0.0405497334796331,https://casperstats.io/
nxm,111,NXM,NXM,6594067.8412913900000000,,476820071.4017454636248185,830942.3612817360052833,72.3104588666719662,0.0941532445525274,71.3597150991906197,https://etherscan.io/token/0xd7c49cee7e9188cca6ad8ff264c1da2e69d4cf3b
dexe,112,DEXE,DeXe,36500047.2325947400000000,98942301.0000000000000000,472995979.5685499305792651,7383256.4482306607399857,12.9587771915583155,17.4736557511896890,11.6082850635969059,https://etherscan.io/token/0xde4EE8057785A7e8e800Db58F9784845A5C2Cbd6
mask-network,113,MASK,Mask Network,96025000.0000000000000000,100000000.0000000000000000,459018612.6854971181225000,47742572.3078223190087473,4.7801990386409489,6.5105849814109488,4.6009704121232731,https://etherscan.io/token/0x69af81e73a73b40adf4f3d4223cd9b1ece623074
basic-attention-token,114,BAT,Basic Attention Token,1490413700.9526057000000000,,454161452.1401032311297011,91858538.2896650062441709,0.3047217372262638,0.5552180330842805,0.3037071325618961,https://etherscan.io/token/Bat
qtum,115,QTUM,Qtum,104755842.0000000000000000,107822406.0000000000000000,453001656.3353556001602642,16620081.8164510317382100,4.3243569779655401,1.4942671696364981,4.2642675511782072,https://qtum.info/
aelf,116,ELF,aelf,725800324.5341900000000000,1000000000.0000000000000000,449932135.3631699719437066,2925251.4548533466820123,0.6199117307531256,1.1802608877811117,0.6059176534620891,https://etherscan.io/token/0xbf2179859fc6D5BEE9Bf9158632Dc51678a4100e
ankr,117,ANKR,Ankr,10000000000.0000000000000000,,447861708.2164450000000000,12342407.5635496838551750,0.0447861708216445,-1.8860405946150192,0.0450839862803206,https://etherscan.io/token/0x8290333ceF9e6D528dD5618Fb97a76f268f3EDD4
amp,118,AMP,Amp,42227702186.0000000000000000,99444125026.0000000000000000,446688399.8365818371653656,8131785.3434400614790064,0.0105780891858396,-2.6143972000457242,,
nem,119,XEM,NEM,8999999999.0000000000000000,8999999999.0000000000000000,438178874.4364633583905389,4337146.3402539161803012,0.0486865416094611,2.1578643616723692,0.0480930129029525,http://nembex.nem.ninja/
